Network,Long Name,Code,Type,Motion,Cable Type,Cable length,Easting,Northing,Elev,Cmp01,x1,y1,z1,Cmp02,x2,y2,z2,Cmp03,x3,y3,z3
OT,SU09_4,30,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,715,651324.2444,4766924.029,517.6898672,x,-0.032931,0.998903,0.033279,y,-0.972659,-0.024371,-0.230954,z,-0.22989,-0.039974,0.972395
OT,SU09_5,31,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,955,651380.8741,4766934.582,284.71114,x,0.372615,-0.926761,0.047662,y,-0.894448,-0.372358,-0.247614,z,-0.247226,-0.049633,0.967686
OT,SU09_6,32,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1195,651441.3623,4766947.781,52.83637931,x,-0.903588,0.374659,-0.207748,y,-0.349063,-0.92502,-0.149979,z,-0.248361,-0.063002,0.966616
OT,SU15_1,33,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,225,652364.8548,4768466.755,1001.201905,x,0.992316,-0.041929,0.116409,y,0.05619,0.99093,-0.122066,z,-0.110235,0.127669,0.985672
OT,SU15_2,34,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,405,652385.1158,4768443.835,823.8209494,x,-0.066006,-0.990086,0.123986,y,0.990919,-0.050453,0.124638,z,-0.117147,0.131087,0.984425
OT,SU15_3,35,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,535,652400.4797,4768426.4,695.9152193,x,0.836339,-0.520739,0.17137,y,0.535121,0.843363,-0.048842,z,-0.119093,0.132552,0.983995
OT,SU15_4,36,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,675,652417.541,4768407.4,558.2646883,x,-0.985549,0.096622,-0.139133,y,-0.114703,-0.985066,0.128406,z,-0.124649,0.14251,0.981913
OT,SU15_5,37,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,875,652444.6506,4768378.29,362.2667426,x,-0.644433,-0.764327,0.022606,y,0.750425,-0.62648,0.210675,z,-0.146862,0.152731,0.977295
OT,SU15_6,38,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,1045,652470.4879,4768354.445,195.9503874,x,0.987868,0.021953,0.153734,y,-0.002795,0.992311,-0.12374,z,-0.155268,0.121809,0.980334
OT,UGSS10_3GEO,39,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,651560.96,4766550.15,-120,x,-0.943997,-0.255434,0.208862,y,0.195062,-0.942572,-0.271126,z,0.266122,-0.215201,0.93961
OT,UGSS11_3GEO,40,IMS_4.5HZ_LM6_Geophone_0,velocity,IMS_0,15,650716,4766772,-68,x,0.879706,0.475243,-0.016165,y,-0.475518,0.879197,-0.029905,z,0,0.033994,0.999422
OT,UGSS12_3GEO,41,IMS_14HZ_LM6_Geophone_0,velocity,IMS_0,15,651121,4767056,-79,x,-0.936717,-0.350086,0,y,0.350086,-0.936717,0,z,0,0,1
OT,SU12_1,42,Avalon_14HZ_HG6_Geophone_0,velocity,Avalon_0,255,652030.9398,4766595.921,964.7499242,x,-0.325468,0.945406,0.016657,y,-0.886992,-0.311366,0.341023,z,0.327592,0.096217,0.939907
OT,SU12_2,43,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,575,651921.667,4766564.781,665.6121116,x,0.830694,-0.492784,-0.25906,y,0.431193,0.863828,-0.260526,z,0.352166,0.104713,0.930061
OT,SU12_3,44,Avalon_14HZ_HG6_Geophone_1,velocity,Avalon_0,745,651861.4366,4766546.075,507.745682,x,0.672991,0.65551,-0.342622,y,0.64563,-0.746635,-0.160304,z,0.360895,0.113324,0.925696
OT,SU12_4,45,Avalon_14HZ_HG6_Geophone_2,velocity,Avalon_0,925,651794.4959,4766525.677,341.9101029,x,-0.142206,-0.973567,0.178731,y,-0.912586,0.198885,0.357255,z,0.383358,0.112303,0.916747
